,StockCode,count,percent,pop1,pop2
0,N85123A,2221,0.43,0.004289781396911976,0.010175435100115189
1,N85099B,2074,0.4,0.004005856198647202,0.009405820419944417
2,N22423,1891,0.37,0.0036523982987665673,0.01705636229027114
3,N47566,1663,0.32,0.0032120245218661032,0.010087589026255353
4,N20725,1538,0.3,0.0029705915301443575,0.003575337944307949
5,N84879,1476,0.29,0.0028508407662503716,0.006196580451336393
6,N22197,1413,0.27,0.0027291585384226122,0.005358305089425679
7,N22720,1354,0.26,0.002615202166329948,0.003687776327076587
8,N21212,1353,0.26,0.002613270702396174,0.002202781480540729
9,N22383,1317,0.25,0.0025437380007803114,0.0023393435165946666
10,N20727,1300,0.25,0.002510903113906154,0.002307635014319551
11,N22457,1255,0.24,0.0024239872368863255,0.002914259693905639
12,N23203,1229,0.24,0.0023737691746082024,0.0041826724528608705
13,N22386,1221,0.24,0.002358317463138011,0.004172618999867704
14,N22469,1218,0.24,0.0023525230713366888,0.0033626672881558396
15,N22086,1179,0.23,0.002277195977919504,0.006583852182790312
16,N22411,1176,0.23,0.0022714015861181823,0.0028512976539157514
17,N21931,1173,0.23,0.0022656071943168606,0.0029336683556708872
18,N20728,1160,0.22,0.002240498163177799,0.0022571486923431833
19,N22382,1152,0.22,0.002225046451707607,0.0017965423608187476
20,N23298,1151,0.22,0.002223114987773833,0.004445264937923736
21,N22961,1142,0.22,0.002205731812369868,0.002585871118779074
22,N23209,1112,0.21,0.0021477878943566486,0.0021974177432587056
23,N22666,1102,0.21,0.002128473255018909,0.0026605737720067383
24,N22960,1100,0.21,0.002124610327151361,0.0036716145535973153
25,N22384,1097,0.21,0.002118815935350039,0.0017891312830151745
26,N82482,1091,0.21,0.0021072271517473956,0.0023107049719431716
27,N22993,1079,0.21,0.002084049584542108,0.0016698568470956202
28,N23206,1055,0.2,0.002037694450131533,0.002131180379697821
29,N22727,1041,0.2,0.0020106539550586973,0.0031692567983916432
30,N20724,1039,0.2,0.0020067910271911495,0.002252842326400479
31,N22699,1034,0.2,0.0019971337075222794,0.0028597176577582375
32,N22178,1033,0.2,0.0019952022435885054,0.0034572009197892566
33,N23084,1016,0.2,0.001962367356714348,0.006026817587123062
34,N20726,1013,0.2,0.0019565729649130264,0.0018574960271591507
35,N22697,1012,0.2,0.001954641500979252,0.0022796410027952105
36,N21080,999,0.19,0.0019295324698401907,0.0011384982606441043
37,N22077,972,0.19,0.0018773829436282937,0.001777323267620309
38,N23199,969,0.19,0.0018715885518269717,0.0029449571638244334
39,N22726,967,0.19,0.0018677256239594238,0.0028183348396235756
40,N21034,960,0.19,0.001854205376423006,0.00019269644816254444
41,N22139,950,0.18,0.0018348907370852663,0.002241428192361097
42,N22470,940,0.18,0.0018155760977475268,0.003167323199010179
43,N21790,935,0.18,0.001805918778078657,0.0013044339461252786
44,N85099C,930,0.18,0.001796261458409787,0.0028349831724243275
45,N22138,917,0.18,0.0017711524272707255,0.0024525138446629333
46,N23301,911,0.18,0.0017595636436680817,0.0016731795628083207
47,N84946,907,0.18,0.001751837787932986,0.002647798956921141
48,N82494L,905,0.17,0.001747974860065438,0.0019309970263049789
49,N22629,903,0.17,0.00174411193219789,0.002524344534103422
50,N23201,896,0.17,0.0017305916846614723,0.0027411941239949924
51,N22355,883,0.17,0.0017054826535224108,0.003055761044283686
52,N20914,878,0.17,0.001695825333853541,0.001897623480118047
53,N22112,873,0.17,0.001686168014184671,0.003421283995330955
54,N21977,867,0.17,0.0016745792305820273,0.0012510598629811693
55,N20712,860,0.17,0.0016610589830456095,0.002271960316363285
56,N23202,859,0.17,0.0016591275191118356,0.0020516826948885646
57,N21929,858,0.17,0.0016571960551780617,0.002330509621381313
58,N23245,857,0.17,0.0016552645912442877,0.003078077477232062
59,N21181,852,0.16,0.0016456072715754179,0.0025982878599051405
60,N84991,852,0.16,0.0016456072715754179,0.0009531739234130668
61,N22630,850,0.16,0.00164174434370787,0.0020057186363893237
62,N20719,841,0.16,0.0016243611683039042,0.0017489438000101215
63,N21731,840,0.16,0.0016224297043701302,0.002268048884934768
64,N22722,832,0.16,0.0016069779928999386,0.002305202217712154
65,N22910,824,0.16,0.001591526281429747,0.003279561481624962
66,N21232,824,0.16,0.001591526281429747,0.0016689911506405203
67,N21175,810,0.16,0.0015644857863569115,0.0024358792029253403
68,N85099F,806,0.16,0.0015567599306218155,0.0032112272790834166
69,N21928,801,0.15,0.0015471026109529456,0.0021187288843345056
70,N23355,793,0.15,0.001531650899482754,0.0029664900466966604
71,N21754,786,0.15,0.0015181306519463362,0.0017701828516037926
72,N22111,784,0.15,0.0015142677240787884,0.0025310078692268004
73,N22090,777,0.15,0.0015007474765423704,0.0022824908502495902
74,N22728,777,0.15,0.0015007474765423704,0.0021446418542587524
75,N22558,774,0.15,0.0014949530847410486,0.0013863538959548874
76,N22698,767,0.15,0.001481432837204631,0.0017367282121966143
77,N23300,762,0.15,0.001471775517535761,0.0011816324817043508
78,N23207,754,0.15,0.0014563238060655694,0.0013450679684210401
79,N21733,747,0.14,0.0014428035585291516,0.002397067145188366
80,N22379,745,0.14,0.0014389406306616035,0.0016195990605581288
81,N22356,734,0.14,0.00141769452739009,0.0011722909639954272
82,N20723,726,0.14,0.0014022428159198984,0.0013148054530472044
83,N21166,724,0.14,0.0013983798880523503,0.00217278014852561
84,N23344,717,0.14,0.0013848596405159326,0.0023499288147336064
85,N23284,716,0.14,0.0013829281765821587,0.0036590250944437104
86,N84978,713,0.14,0.0013771337847808369,0.001679985074356806
87,N22554,713,0.14,0.0013771337847808369,0.0013652117349620305
88,N21930,713,0.14,0.0013771337847808369,0.001472884574592802
89,N22326,710,0.14,0.0013713393929795149,0.002377923879416651
90,N22624,708,0.14,0.001367476465111967,0.0016966502576968297
91,N22659,707,0.14,0.001365545001178193,0.002111435760305836
92,N84378,689,0.13,0.0013307786503702617,0.0008824680074689844
93,N84380,687,0.13,0.0013269157225027136,0.0008332981338732426
94,N22385,687,0.13,0.0013269157225027136,0.001745488386300654
95,N22966,684,0.13,0.0013211213307013918,0.0009647881576063035
96,N22662,683,0.13,0.0013191898667676179,0.0010209983971416342
97,N22907,682,0.13,0.001317258402833844,0.000552923064084878
98,N22551,681,0.13,0.00131532693890007,0.001374983994581095
99,N23208,680,0.13,0.0013133954749662959,0.0010797362175677676
100,N85152,679,0.13,0.001311464011032522,0.0016641392484888842
101,N82484,677,0.13,0.001307601083164974,0.0037648865011027407
